Surname,First Name,Team,W,L,ERA,APP,GS,SV,CG,SHO,IP,H,R,ER,BB,SO,H2,H3,HR,AB,BAVG,WP,HBP,BK,SFA,SHA,GO,FO
MORENO GOMEZ,WILLIANDER JOSE,MAC,9,3,1.26,14,14,0,5,2,86.0,61,15,12,16,94,14,1,1,301,0.203,3,7,0,1,6,76,71
MORILLO PUNTIEL,Geronimo Arturo,MIL,0,2,4.70,5,0,0,0,0,7.2,7,7,4,5,7,4,0,0,30,0.233,0,4,0,0,1,8,8
MOSCHETTI,Alan,COD,0,0,6.75,2,0,0,0,0,2.2,2,3,2,2,2,1,0,0,10,0.200,0,1,0,0,0,2,4
MUCCINI,Mattia,RIM,0,0,0.00,2,0,0,0,0,2.0,1,0,0,3,1,1,0,0,6,0.167,0,1,0,0,1,1,4
MURGIA,Edoardo,CAG,0,0,6.00,3,0,0,0,0,3.0,6,2,2,3,2,0,0,0,15,0.400,2,1,0,0,0,5,2
NARDI,Francesco,RON,1,0,7.98,7,0,0,0,0,14.2,22,16,13,8,15,3,0,0,66,0.333,1,2,1,0,2,18,10
NEPOTI,Riccardo,ATL,7,4,3.54,13,13,0,1,0,73.2,58,38,29,39,72,17,0,1,272,0.213,3,2,0,1,1,58,78
NODAL SUAREZ,Elder,TOR,4,8,3.29,15,15,0,3,1,101.1,98,58,37,37,85,16,3,4,391,0.251,6,21,1,4,3,116,81
NOGUERA RODRIGUEZ,Antonio,BBC,0,4,8.31,14,4,1,0,0,30.1,52,29,28,14,14,12,2,3,132,0.394,4,1,0,2,5,34,35
NOVELLO,Davide,PAD,0,0,20.25,1,0,0,0,0,1.1,3,3,3,2,2,2,0,0,7,0.429,0,0,0,0,0,1,1
PADOVANI,Matteo,VER,1,2,4.79,14,3,2,0,0,35.2,46,26,19,16,32,10,2,4,152,0.303,1,2,1,1,1,39,31
PALTRINIERI,Alessio,MOD,0,0,1.69,7,0,0,0,0,10.2,10,6,2,8,7,0,0,1,40,0.250,3,0,1,1,2,8,17
PALUMBO CARDOZO,Angelo Michelle Paolo,GRO,5,3,2.82,13,6,1,0,0,38.1,32,15,12,14,46,3,2,0,141,0.227,3,5,0,2,4,36,30
PAREDES AMUTIO,Oscar Andres,PAR,0,0,0.00,1,0,0,0,0,1.0,1,1,0,1,0,1,0,0,4,0.250,1,0,0,0,0,2,0
PAREDES SANCHEZ,EDWARD VALENTINO ESTEFANO,RIM,2,3,4.75,7,7,0,0,0,36.0,36,22,19,21,58,7,5,0,141,0.255,5,2,0,1,2,28,21
PARISE,Michele,PAU,0,0,40.50,3,0,0,0,0,1.1,3,6,6,5,1,0,0,1,7,0.429,2,0,0,0,0,0,3
PASCOLI,Marco,RSM,1,1,10.50,9,0,1,0,0,12.0,16,14,14,8,10,1,0,2,49,0.327,3,1,0,1,1,14,10
PECCI,Federico,GRO,1,3,8.39,13,3,0,0,0,24.2,35,24,23,16,20,7,0,1,102,0.343,4,3,0,1,1,25,23
PERSICO,Alessandro,MIL,1,0,4.85,10,0,0,0,0,13.0,8,7,7,11,10,1,2,0,43,0.186,3,2,0,2,0,11,16
PETRONIA,ROLANDO RECHEL,OLT,0,0,13.50,2,0,0,0,0,1.1,3,3,2,1,1,0,0,0,7,0.429,1,2,0,0,0,1,2
PEÑALVER HERNANDEZ,Juan Xavier,BBC,0,3,3.45,15,1,3,0,0,31.1,16,12,12,17,40,2,1,1,106,0.151,1,4,0,0,0,21,29
PIETROGRANDE,Pablo,ROV,2,4,3.97,15,4,1,0,0,45.1,48,26,20,16,14,10,2,1,176,0.273,1,2,2,4,2,56,59
PILLON,Riccardo,ROV,0,0,27.00,1,0,0,0,0,1.0,3,3,3,0,1,1,0,0,6,0.500,0,1,0,0,0,1,1
PIREDDU,Andrea,CAN,0,0,9.53,6,0,0,0,0,5.2,7,9,6,11,4,2,0,0,27,0.259,0,1,1,0,0,3,11
PIUMATTI,Gabriele,GOD,0,1,4.76,5,0,0,0,0,5.2,7,6,3,5,3,0,0,0,22,0.318,2,0,0,0,1,9,4
PIZZI,Davide,MIL,0,3,8.88,12,2,0,0,0,24.1,41,31,24,15,13,5,2,1,112,0.366,4,1,0,1,4,33,25
POLO CORNIEL,Dalberto,MIL,1,1,4.76,12,0,0,0,0,17.0,13,11,9,9,11,2,1,1,57,0.228,2,3,1,2,0,6,29
POMPONI,Francesco,RSM,2,3,6.93,9,8,0,0,0,24.2,27,21,19,22,20,5,0,0,95,0.284,3,5,0,1,1,26,23
POMPONI,Michele,OLT,2,0,1.15,8,0,2,0,0,15.2,7,3,2,1,21,0,0,0,52,0.135,2,0,1,1,1,12,14
POUYE,Meissa,LIN,3,7,6.50,14,14,0,0,0,54.0,54,45,39,48,52,15,1,1,208,0.260,8,3,2,3,3,48,51
PUGGIONI,Matteo,CAN,0,0,0.00,1,0,0,0,0,0.0,1,2,2,1,0,1,0,0,1,1.000,1,0,0,0,0,0,0
PULZETTI,Luca,RIM,0,0,0.00,1,0,0,0,0,0.2,2,0,0,0,0,0,0,0,4,0.500,0,0,0,0,0,0,2
PÁEZ FOGUET,Eric,BBC,0,1,10.13,3,2,0,0,0,5.1,9,6,6,5,6,0,0,1,24,0.375,1,2,0,0,1,6,4
PÉREZ PADILLA,Andrés Eduardo,PAR,1,2,4.50,11,0,3,0,0,18.0,13,11,9,10,21,2,0,3,64,0.203,0,0,1,1,0,14,16
QUATTRINI,Gabriele,MAC,6,5,3.68,16,14,1,6,2,88.0,86,40,36,25,85,19,3,5,334,0.257,6,9,0,4,2,81,84
QUESADA COTO,Andy,CAN,3,6,3.47,14,14,0,2,1,93.1,71,52,36,58,131,15,3,0,346,0.205,12,9,0,2,4,79,58
QUEVEDO VISO,Carlos Eduardo,RSM,2,2,3.21,5,3,0,0,0,14.0,12,6,5,3,20,1,0,1,52,0.231,0,0,0,0,0,12,8
QUEZADA MARTE,Junior Starling,PAU,0,1,32.40,2,0,0,0,0,1.2,6,7,6,3,1,1,0,0,9,0.667,0,2,3,1,0,0,3
RAMON ARAMAYO,Lucas,VER,3,2,1.34,12,12,0,1,1,67.0,54,15,10,11,74,7,0,0,251,0.215,3,8,1,1,3,68,50
RESCA,Alessandro,TOR,0,0,72.00,2,0,0,0,0,1.0,5,9,8,4,0,0,0,1,8,0.625,2,1,0,0,0,1,2
RICCHIARDI,Alberto,TOR,0,0,6.75,4,0,0,0,0,2.2,3,4,2,8,2,1,1,0,12,0.250,0,0,0,1,0,3,3
RICCI,Marco,LIN,0,0,6.93,12,0,2,0,0,24.2,37,23,19,18,29,3,3,1,105,0.352,2,7,0,0,0,17,21
RICCÒ PANCIROLI,Fabio,REG,0,1,7.47,9,0,0,0,0,15.2,15,15,13,10,12,4,1,0,61,0.246,2,1,0,1,0,12,22
RIESGO LOPEZ,Omar,ROV,0,1,6.53,12,1,2,0,0,30.1,40,26,22,15,17,5,6,1,127,0.315,4,4,0,3,2,26,46
RIESTRA BRICENO,Francisco Severo,CAN,0,0,36.00,2,0,0,0,0,3.0,14,12,12,1,3,5,0,1,24,0.583,0,0,1,0,0,3,4
ROBLES MARTIN,Federico Nicolas,BOL,1,2,3.16,14,0,5,0,0,25.2,27,12,9,8,16,5,0,1,95,0.284,0,4,0,2,0,25,28
RONDON SEQUERA,Danny Javier,NET,1,1,10.57,3,2,0,0,0,7.2,14,9,9,6,4,6,0,0,35,0.400,1,0,0,1,0,6,10
ROSALES MOTTA,ALESSANDRO,CAG,0,0,27.00,2,0,0,0,0,1.2,3,10,5,9,1,1,2,0,8,0.375,0,3,2,0,0,4,0
ROSALES MOTTA,Giovanny Andres,CAG,0,1,6.23,2,1,0,0,0,4.1,3,3,3,2,5,2,0,0,15,0.200,2,0,0,0,0,4,3
ROTONDO,Luigi,SEN,1,1,10.66,14,1,0,0,0,25.1,32,36,30,31,9,4,2,2,103,0.311,5,11,1,2,1,24,37
RUMMEL PEDROL,Christian,RSM,4,3,3.50,13,9,2,0,0,43.2,41,19,17,15,54,8,2,0,167,0.246,2,1,0,0,2,48,24
SABATINI,Filippo,NET,5,1,2.23,11,5,2,0,0,40.1,20,10,10,18,66,3,1,1,132,0.152,6,7,0,0,2,23,23
SABBADINI,Alex,GOD,3,0,2.89,13,0,2,0,0,18.2,14,9,6,13,24,1,1,1,68,0.206,7,5,0,0,1,17,12
SALVATORE,Simone,SET,2,4,6.21,8,6,0,0,0,37.2,45,37,26,33,39,8,2,2,151,0.298,9,14,0,5,1,39,28
SANCHEZ OSUNA,FRANCISCO DAVID,OLT,4,6,3.02,15,15,0,0,0,98.1,65,39,33,30,160,10,0,1,357,0.182,12,6,4,0,5,57,72
SANTANA PAYANO,Luis Manuel,PAR,2,0,5.01,13,0,4,0,0,23.1,27,14,13,11,29,9,0,3,96,0.281,6,0,0,0,1,22,18
SARTINI,Elia,RIM,0,2,11.65,10,2,0,0,0,17.0,31,23,22,8,8,5,1,2,81,0.383,2,1,0,2,1,20,24
SASSI,Lorenzo,POV,0,0,0.00,1,0,0,0,0,0.0,0,0,0,2,0,0,0,0,0,0.000,1,1,0,0,0,0,0
SCOTTI,Claudio,PAR,2,1,4.40,14,2,6,0,0,28.2,38,17,14,13,39,7,2,1,120,0.317,2,2,1,1,0,22,21
SEVERINO FAMILIA,Brian Antonio,RSM,0,0,27.00,6,0,0,0,0,3.1,11,11,10,3,1,3,0,1,23,0.478,1,2,1,0,0,5,4
SHELDON,Bryan,SEN,4,4,4.04,15,6,2,0,0,62.1,57,35,28,21,85,8,5,1,240,0.238,5,11,1,2,1,47,48
SILVA MENA,Ricardo Antonio,PAU,1,9,4.05,15,15,0,1,0,97.2,116,62,44,33,111,17,3,3,403,0.288,8,6,1,3,5,88,80
SILVA NOLASCO,Isaac Benjamín,NET,8,2,1.00,11,10,0,2,0,72.0,34,12,8,15,134,2,0,1,247,0.138,11,3,4,0,3,52,27
SIMONE,Valerio,NET,0,0,0.00,1,0,0,0,0,0.1,0,0,0,0,1,0,0,0,1,0.000,0,0,0,0,0,0,0
SIREUS,Mattia,GRO,2,7,7.49,14,10,0,0,0,45.2,51,42,38,29,34,7,1,3,178,0.287,9,10,0,0,5,58,38
SJORS,Per Ake,PAU,0,1,0.00,2,0,0,0,0,6.0,6,6,0,4,5,3,0,0,27,0.222,2,2,0,0,1,11,1
SMANIOTTO,Davide,PAD,4,4,3.90,15,9,2,0,0,62.1,57,30,27,30,51,13,1,0,231,0.247,5,6,0,2,5,74,53
SORRENTINO,Fabio,COL,0,0,0.00,1,0,0,0,0,2.0,1,0,0,2,2,0,0,0,7,0.143,1,0,0,0,0,1,3
SOSA SILVA,Kevin Rafael,RIM,2,1,3.23,10,1,2,0,0,30.2,38,17,11,5,25,7,3,0,122,0.311,3,2,0,3,2,37,26
SOTO LOPEZ,Erik Tomas,BBC,1,6,8.61,13,8,0,1,0,38.2,57,40,37,27,27,11,0,5,158,0.361,3,2,0,3,4,54,25
SPEZIALI,Marco,COD,1,1,9.00,4,0,0,0,0,7.0,8,8,7,6,4,2,2,0,29,0.276,0,2,0,0,0,5,11
STABILE,Pietro,RON,1,3,2.37,13,3,1,0,0,38.0,23,18,10,32,41,3,2,0,126,0.183,3,2,0,3,3,28,39
STELLA,Flavio Luciano,LIN,0,0,13.50,3,0,0,0,0,3.1,5,5,5,2,3,0,0,1,14,0.357,0,3,0,0,0,4,2
SUAREZ HERNANDEZ,Yoel,SET,5,3,1.32,9,6,0,5,0,61.1,45,14,9,11,72,6,0,1,219,0.205,0,2,0,1,5,52,48
TAGLIAFERRI,Gabriele,FIO,3,2,3.55,14,5,2,0,0,45.2,45,23,18,20,19,5,1,4,177,0.254,3,2,0,1,2,48,64
TASCHIN,Giacomo,ROV,3,1,1.11,13,1,5,0,0,32.1,20,6,4,13,47,2,0,3,113,0.177,3,3,1,1,2,24,21
TASCHIN,Lorenzo,ROV,1,0,0.00,1,0,0,0,0,2.1,1,1,0,2,0,0,0,0,8,0.125,0,0,0,1,0,4,4
TASCHINI,Paolo,BBC,0,1,10.13,13,0,0,0,0,16.0,20,20,18,16,10,3,1,0,64,0.313,7,2,0,3,0,17,18
TESIO,Giacomo,TOR,0,0,0.00,1,0,0,0,0,1.0,0,0,0,2,1,0,0,0,3,0.000,0,0,0,0,0,0,2
TOGNACCI,Gianluca,RIM,3,3,3.98,11,2,1,0,0,40.2,37,21,18,11,21,10,1,1,151,0.245,3,1,0,2,2,41,52
TORRES ZAMBRANO,GABRIEL JOSE,COD,7,1,1.54,15,15,0,2,1,93.1,56,19,16,34,158,4,2,2,320,0.175,5,11,5,0,4,66,36
TOSINI,Tommaso,CRO,0,0,0.00,1,0,0,0,0,0.2,0,0,0,0,1,0,0,0,2,0.000,0,0,0,0,0,1,0
TREVISAN,Nicolas,POV,0,0,5.40,6,1,0,0,0,11.2,13,9,7,5,7,3,0,0,48,0.271,3,5,0,1,0,10,17
TRINIDAD MENDEZ,KERSON,REG,2,1,1.53,12,2,3,1,0,29.1,22,7,5,11,28,3,1,0,104,0.212,2,2,1,1,2,28,26
TUZZI,Riccardo,PAD,0,0,0.00,1,0,0,0,0,0.2,0,0,0,1,2,0,0,0,2,0.000,0,0,0,0,0,0,0
UCCHEDDU,Alessio,CAG,0,0,8.31,4,0,0,0,0,4.1,5,4,4,6,0,2,0,0,18,0.278,0,0,0,0,0,4,8
URDANETA,JOSE LUIS,CAG,1,4,7.58,9,5,0,0,0,29.2,40,35,25,19,31,11,1,0,126,0.317,5,6,2,2,3,26,29
UTTINI,Edoardo,COD,0,3,6.46,13,0,2,0,0,30.2,37,25,22,23,28,9,1,0,127,0.291,3,4,0,3,2,24,40
VALERIO,Dawit,TOR,0,0,0.00,1,0,0,0,0,1.0,0,0,0,0,0,0,0,0,3,0.000,0,0,0,0,0,2,0
VANNINI,Leonardo,PAU,0,0,8.19,20,0,0,0,0,29.2,44,36,27,14,17,6,1,2,126,0.349,9,4,0,3,1,30,36
VARALDA,Mattia,MIL,3,5,5.20,13,13,0,0,0,71.0,94,53,41,23,39,20,2,2,299,0.314,4,5,1,3,5,52,116
VASSALLO,Lorenzo,PAU,0,7,8.56,13,6,0,0,0,47.1,80,63,45,21,36,13,2,0,213,0.376,2,9,0,4,3,46,51
VASSALOTTI,Michele Antonio,RSM,2,1,3.97,5,5,0,1,1,22.2,18,11,10,8,18,4,0,0,85,0.212,1,2,0,1,0,30,18
VENTURA VENTURA,Cipriano,MOD,0,3,4.30,5,2,0,0,0,14.2,19,8,7,6,10,1,1,0,63,0.302,1,1,1,1,1,21,12
VIRGADAULA,Federico,COD,8,3,3.81,15,15,0,2,1,85.0,74,40,36,34,99,11,2,1,316,0.234,15,6,0,1,4,77,63
ZACCARINI,Elia,OLT,2,1,3.93,9,0,0,0,0,18.1,21,9,8,15,19,3,0,0,69,0.304,1,3,0,0,1,11,18
ZANCHI,Enrico,REG,8,1,1.18,12,12,0,2,1,68.2,34,11,9,38,106,3,4,0,234,0.145,8,11,0,1,2,64,25
ZANELOTTI,Andrea,COD,0,0,9.00,2,0,0,0,0,2.0,5,6,2,1,0,3,0,0,12,0.417,0,1,0,0,0,2,2
ZIDDA,Nicola,CAN,2,3,7.32,8,8,0,0,0,35.2,33,37,29,41,47,5,1,0,137,0.241,7,8,1,2,2,22,33
ZINGARELLI,Edoardo,TOR,1,5,7.66,14,7,0,0,0,44.2,45,41,38,41,43,13,2,0,165,0.273,6,10,0,6,6,40,46
ZOTTI,Matthias,RON,2,2,6.00,7,6,0,0,0,30.0,29,26,20,18,39,4,4,2,117,0.248,5,1,1,2,0,26,22
ÁLVAREZ MARTÍNEZ,Luis Miguel,CAG,3,2,7.04,12,9,0,1,0,55.0,76,48,43,37,46,16,5,0,232,0.328,9,5,2,5,3,61,52
